probe_id,gene_symbol,original_shap_rank,times_selected,selection_frequency_pct,mean_importance,mean_rank,best_rank
218211_s_at,MLPH,1,20,100.0,0.27219573,14.95,1
210930_s_at,ERBB2,3,20,100.0,0.27746123,3.0,1
210761_s_at,GRB7,17,20,100.0,0.055562478,35.95,1
205225_at,ESR1,4,20,100.0,0.15170455,16.0,1
234354_x_at,ERBB2,5,20,100.0,0.16637611,18.85,2
232322_x_at,STARD10,6,20,100.0,0.14338595,7.85,4
229150_at,,7,20,100.0,0.09728123,82.6,1
200934_at,DEK,8,20,100.0,0.09509426,26.0,2
201710_at,MYBL2,9,20,100.0,0.040197242,61.15,3
221811_at,PGAP3,11,20,100.0,0.061370213,32.5,3
213611_at,AQP5,13,20,100.0,0.058171265,34.95,5
55616_at,PGAP3,12,20,100.0,0.054796834,43.75,3
224753_at,CDCA5,16,20,100.0,0.027213473,72.75,4
224447_s_at,MIEN1,44,20,100.0,0.00992894,67.4,15
242580_at,,28,20,100.0,0.020244,79.05,7
206364_at,KIF14,23,20,100.0,0.016465208,148.15,8
215593_at,,21,20,100.0,0.016599193,66.05,17
228362_s_at,CALHM6,19,20,100.0,0.022173371,90.45,9
218447_at,CMC2,47,20,100.0,0.0058267433,123.75,16
204126_s_at,CDC45,45,20,100.0,0.00783329,164.1,11
203418_at,CCNA2,39,20,100.0,0.0052040713,131.35,15
220651_s_at,MCM10,42,20,100.0,0.004893992,116.1,15
204092_s_at,AURKA,2,19,95.0,0.21937576,21.36842105263158,1
210085_s_at,ANXA9,43,19,95.0,0.011931551,85.15789473684211,11
225687_at,SACK1D,36,19,95.0,0.011170755,139.52631578947367,13
220054_at,IL23A,15,19,95.0,0.037008338,24.105263157894736,8
235046_at,INPP4B,32,18,90.0,0.017451279,102.94444444444444,7
219555_s_at,CENPN,29,17,85.0,0.019178879,81.6470588235294,7
202991_at,STARD3,10,17,85.0,0.0551914,16.294117647058822,9
225421_at,PM20D2,35,16,80.0,0.013387838,78.0,15
219867_at,CHODL,20,16,80.0,0.026194846,51.375,11
223523_at,TMEM108,40,15,75.0,0.03770146,33.2,7
218976_at,DNAJC12,48,14,70.0,0.0030163813,91.14285714285714,24
203968_s_at,CDC6,18,14,70.0,0.044472884,70.78571428571429,7
235956_at,CEP126,50,13,65.0,0.0018995987,111.15384615384616,43
223700_at,MND1,26,13,65.0,0.03922639,101.07692307692308,1
203380_x_at,SRSF5,27,12,60.0,0.011554919,70.33333333333333,19
202954_at,UBE2C,41,12,60.0,0.026036708,76.08333333333333,5
201381_x_at,CACYBP,38,11,55.0,0.008982393,84.9090909090909,16
221677_s_at,DONSON,31,11,55.0,0.01662737,67.27272727272727,15
219455_at,CFAP69,30,11,55.0,0.019472014,89.0909090909091,10
232282_at,WNK3,34,11,55.0,0.014524958,67.72727272727273,11
218319_at,PELI1,14,10,50.0,0.08084668,22.3,4
223259_at,ORMDL3,46,10,50.0,0.013665011,59.8,19
1555270_a_at,WFS1,49,10,50.0,0.016588088,74.8,13
233445_at,,25,9,45.0,0.0115303155,40.333333333333336,22
214700_x_at,RIF1,37,9,45.0,0.003357271,188.0,28
203967_at,CDC6,22,7,35.0,0.016088177,76.28571428571429,14
201388_at,PSMD3,24,7,35.0,0.03529031,22.714285714285715,12
214858_at,GPC1-AS1,33,5,25.0,0.0684376,28.8,7
