probe_id,gene_symbol,times_selected,selection_frequency_pct,mean_importance,mean_rank
1552733_at,KLHDC1,20,100.0,0.006210979,76.2
55616_at,PGAP3,20,100.0,0.054796834,43.75
1554572_a_at,SUV39H2,20,100.0,0.003615979,135.1
1558448_a_at,,20,100.0,0.002128104,110.35
1558447_at,,20,100.0,0.005744904,113.45
242580_at,,20,100.0,0.020244,79.05
236641_at,KIF14,20,100.0,0.0,140.75
213523_at,CCNE1,20,100.0,0.0,228.45
200934_at,DEK,20,100.0,0.09509426,26.0
216836_s_at,ERBB2,20,100.0,0.007904846,125.2
218211_s_at,MLPH,20,100.0,0.27219573,14.95
213611_at,AQP5,20,100.0,0.058171265,34.95
212023_s_at,MKI67,20,100.0,0.0,228.4
212492_s_at,KDM4B,20,100.0,0.00039848514,214.95
218542_at,CEP55,20,100.0,0.0,169.0
211519_s_at,KIF2C,20,100.0,0.000600518,205.55
228868_x_at,CDT1,20,100.0,0.0,194.3
212496_s_at,KDM4B,20,100.0,0.0008203484,211.8
218355_at,KIF4A,20,100.0,0.0,161.5
201710_at,MYBL2,20,100.0,0.040197242,61.15
